,0
579,HSPA12A
580,HSPA9
581,HSPB7
582,HSPH1
583,HTR4
584,HYAL2
585,ICAM2
586,ID1
587,ID2
588,ID3
589,IER2
590,IER3
591,IFI27
592,IFITM2
593,IFNAR1
594,IFNG-AS1
595,IGF1
596,IGF1R
597,IGFBP2
598,IGFBP7
599,IGKC
600,IGSF21
601,IKBKB
602,IKZF1
603,IL16
604,IL18R1
605,IL1R1
606,IL1RAPL1
607,IL1RAPL2
608,IL7R
609,ILK
610,IMMT
611,INPP4A
612,INPP4B
613,INPP5D
614,INSR
615,IPO9-AS1
616,IQGAP2
617,IRAK3
618,ITGA1
619,ITGA7
620,ITGA8
621,ITGA9
622,ITGB1
623,ITGB8
624,ITIH5
625,ITK
626,ITLN1
627,ITPK1
628,ITPKB-AS1
629,ITPR2
630,ITSN1
631,ITSN2
632,IVD
633,JPH2
634,JUN
635,JUNB
636,JUP
637,KALRN
638,KANK1
639,KANK3
640,KANSL1L
641,KAZN
642,KCNAB1
643,KCNE1
644,KCNE4
645,KCNH5
646,KCNJ3
647,KCNJ8
648,KCNMA1
649,KCNMB2
650,KCNMB2-AS1
651,KCNMB4
652,KCNQ5
653,KCNT2
654,KDM5B
655,KIAA0232
656,KIAA0355
657,KIAA1217
658,KIAA1549
659,KIF13A
660,KIF18B
661,KIF20B
662,KIRREL3
663,KIT
664,KLF12
665,KLF13
666,KLF2
667,KLF6
668,KLHL29
669,KMT2A
670,KMT2E
671,KNTC1
672,KRT18
673,KRT19
674,L3MBTL4
675,LAMA2
676,LAMA3
677,LBH
678,LCP2
679,LDB2
680,LDB3
681,LDLRAD3
682,LEMD3
683,LGI4
684,LGMN
685,LGR6
686,LHFPL2
687,LIAS
688,LIMA1
689,LIMCH1
690,LIMS1
691,LINC00486
692,LINC00598
693,LINC00882
694,LINC01088
695,LINC01091
696,LINC01099
697,LINC01411
698,LINC01568
699,LINC01572
700,LINC01592
701,LINC01828
702,LINC02147
703,LINC02208
704,LINC02240
705,LINC02248
706,LINC02253
707,LINC02388
708,LINC02511
709,LINGO1
710,LIPE
711,LIPE-AS1
712,LMCD1
713,LMO7
714,LMOD1
715,LMOD2
716,LOXL2
717,LPAR1
718,LPAR6
719,LPIN1
720,LPL
721,LRIG1
722,LRMDA
723,LRP1
724,LRP1B
725,LRP2
726,LRRTM3
727,LRRTM4
728,LSAMP
729,LSM14A
730,LST1
731,LTBP1
732,LTBP4
733,LYN
734,LYST
735,LZTS1-AS1
736,MACROD2
737,MAGI1
738,MAGI2
739,MAGT1
740,MAML3
741,MAP3K11
742,MAP4
743,MAPK10
744,MAPK4
745,MARC1
746,MARCH1
747,MARCH3
748,MARK3
749,MAST4
750,MBD5
751,MBNL1
752,MCM7
753,MCTP1
754,MCTP2
755,MDFIC
756,ME1
757,MECOM
758,MED13L
759,MEF2C
760,MEG3
761,MEG8
762,MEIS2
763,MELK
764,MEST
765,MFGE8
766,MGAT5
767,MGP
768,MGST1
769,MGST2
770,MGST3
771,MICALL2
772,MIPEP
773,MIR193BHG
774,MIR22HG
775,MIR29B2CHG
776,MIR4435-2HG
777,MIR99AHG
778,MITF
779,MLIP
780,MLLT10
781,MLLT6
782,MLXIPL
783,MME
784,MMP16
785,MMRN1
786,MMS22L
787,MPZ
788,MRC1
789,MRC2
790,MS4A6A
791,MSC-AS1
792,MSR1
793,MT1E
794,MT2A
795,MTHFD1L
796,MTHFD2
797,MTUS1
798,MX2
799,MYBL1
800,MYBPC3
801,MYCBP2
802,MYH10
803,MYH11
804,MYH13
805,MYH6
806,MYH7
807,MYH7B
808,MYL2
809,MYL3
810,MYL4
811,MYL6
812,MYL7
813,MYO18B
814,MYO1F
815,MYOCD
816,MYOM2
817,MYPN
818,MYRIP
819,MYSM1
820,N4BP2L2
821,NAA35
822,NAIP
823,NAMPT
824,NAV1
825,NAV2
826,NCAM1
827,NCAM2
828,NDRG4
829,NDUFA4L2
830,NDUFAF8
831,NEAT1
832,NEB
833,NEBL
834,NEDD4L
835,NEGR1
836,NEXN
837,NFATC2
838,NFATC2IP
839,NFIB
840,NFKB1
841,NFKBIA
842,NFKBIZ
843,NFRKB
844,NGF
845,NHS
846,NHSL1
847,NID1
848,NIPBL
849,NKAIN2
850,NKAIN3
851,NKTR
852,NLGN1
853,NLGN4X
854,NLK
855,NLRC5
856,NNMT
857,NOL10
858,NOSTRIN
859,NOVA1
860,NPPA
861,NR2F1
862,NR4A1
863,NR4A3
864,NREP
865,NRG2
866,NRG3
867,NRXN1
868,NRXN3
869,NSD3
870,NSMCE2
871,NTM
872,NTN1
873,NTRK3
874,NUP210
875,NUP210L
876,NUP50-DT
877,NUPR1
878,NUSAP1
879,NXN
880,OBSCN
881,ODF2L
882,OGA
883,OGFRL1
884,OLFM2
885,OPCML
886,ORC2
887,OSBPL10
888,OSMR
889,OTUB1
890,P2RY8
891,PABPC4
892,PACS1
893,PAIP1
894,PALLD
895,PALM2-AKAP2
896,PALMD
897,PAM
898,PAPPA
899,PARD3B
900,PARP14
901,PARP4
902,PARP8
903,PATJ
904,PATL1
905,PBX1
906,PBX3
907,PC
908,PCDH15
909,PCDH7
910,PCDH9
911,PCED1A
912,PCED1B
913,PCSK7
914,PDCD6IP
915,PDE10A
916,PDE1C
917,PDE3B
918,PDE4B
919,PDE4D
920,PDE5A
921,PDE7A
922,PDE7B
923,PDGFD
924,PDGFRB
925,PDK4
926,PDLIM3
927,PDLIM7
928,PDXDC1
929,PDZRN4
930,PECAM1
931,PER1
932,PER3
933,PFKFB3
934,PGAP1
935,PGK1
936,PGM1
937,PHACTR1
938,PHACTR2
939,PHLDB1
940,PHLDB2
941,PIAS2
942,PID1
943,PIGX
944,PIK3R1
945,PIK3R5
946,PIP4K2A
947,PIP5K1B
948,PIR
949,PITPNC1
950,PITPNM2
951,PKHD1L1
952,PKIA
953,PKN2-AS1
954,PKN3
955,PLA2G2A
956,PLCB1
957,PLCB2
958,PLCE1
959,PLCG2
960,PLEKHA5
961,PLEKHG1
962,PLIN1
963,PLIN4
964,PLIN5
965,PLN
966,PLOD2
967,PLPP1
968,PLSCR1
969,PLVAP
970,PLXDC2
971,PLXNA4
972,PMP22
973,PNISR
974,PNPLA2
975,PODXL
976,POLQ
977,POPDC2
978,POSTN
979,POU6F2
980,PPARG
981,PPP1R12A
982,PPP1R13B
983,PPP1R16B
984,PPP1R17
985,PPP1R42
986,PPP2R2B
987,PPP2R5C
988,PPP3CA
989,PRDM16
990,PRELP
991,PRG4
992,PRICKLE1
993,PRIM2
994,PRIMA1
995,PRKAR2A
996,PRKAR2B
997,PRKCA
998,PRKCA-AS1
999,PRKCE
1000,PRKCH
1001,PRKCQ
1002,PRKD1
1003,PRKDC
1004,PRKG1
1005,PRLR
1006,PRR16
1007,PRRX1
1008,PRSS23
1009,PSEN1
1010,PSMB6
1011,PSMB9
1012,PSMD4
1013,PTEN
1014,PTGIS
1015,PTK2
1016,PTP4A3
1017,PTPN2
1018,PTPRA
1019,PTPRB
1020,PTPRC
1021,PTPRG
1022,PTPRJ
1023,PTPRM
1024,PTPRQ
1025,PTPRS
1026,PVT1
1027,PXDNL
1028,PYGL
1029,QKI
1030,RAB27B
1031,RAB2A
1032,RABEP1
1033,RABL3
1034,RAF1
1035,RALGPS1
1036,RALGPS2
1037,RALYL
1038,RAMP3
1039,RANBP3L
1040,RAP1GAP2
1041,RASD1
1042,RASGEF1B
1043,RASGEF1C
1044,RASSF8
1045,RBFOX1
1046,RBL1
1047,RBM47
1048,RBMS3-AS2
1049,RBPJ
1050,RBPMS
1051,RCSD1
1052,RELN
1053,RERG
1054,RETSAT
1055,REV1
1056,RFWD3
1057,RGS5
1058,RGS6
1059,RGS7BP
1060,RHBDL3
1061,RIN2
1062,RIN3
1063,RMND5B
1064,RNF115
1065,RNF121
1066,RNF13
1067,RNF149
1068,RNF150
1069,RNF24
1070,RNGTT
1071,ROBO1
1072,ROCK1
1073,ROR2
1074,RORA
1075,RPL10
1076,RPL29
1077,RPL3L
1078,RPLP1
1079,RPS15A
1080,RPS23
1081,RPS25
1082,RPS6KA2
1083,RPS6KA3
1084,RPS6KA5
1085,RPS6KC1
1086,RRAD
1087,RRBP1
1088,RSRP1
1089,RUNX1
1090,RUNX1T1
1091,RUNX3
1092,S100A6
1093,S100A9
1094,SAA1
1095,SAMD8
1096,SAMHD1
1097,SAMSN1
1098,SASH1
1099,SAT1
1100,SAV1
1101,SCAPER
1102,SCD
1103,SCMH1
1104,SCN3A
1105,SCN5A
1106,SCN7A
1107,SCN9A
1108,SCPEP1
1109,SDK1
1110,SEC14L1
1111,SEMA3B
1112,SEMA3C
1113,SEPT6
1114,SERINC5
1115,SERPINE2
1116,SERPINF1
1117,SESTD1
1118,SETD5
1119,SGCD
1120,SGCG
1121,SGIP1
1122,SGK1
1123,SGMS2
1124,SH2B3
1125,SH2D3C
1126,SH3D19
1127,SH3PXD2B
1128,SH3RF2
1129,SH3RF3
1130,SHANK3
1131,SHISA9
1132,SIK2
1133,SIK3
1134,SIMC1
1135,SIPA1L1
1136,SIPA1L2
1137,SKAP1
1138,SKAP2
1139,SKIL
1140,SLC11A1
1141,SLC16A10
1142,SLC16A12
1143,SLC16A7
1144,SLC18A2
1145,SLC19A3
1146,SLC1A3
1147,SLC20A1
1148,SLC22A23
1149,SLC22A3
1150,SLC24A3
1151,SLC25A36
1152,SLC26A3
1153,SLC2A13
1154,SLC35F1
1155,SLC38A1
1156,SLC38A11
1157,SLC39A8
1158,SLC44A1
1159,SLC4A4
1160,SLC7A6
1161,SLC8A1-AS1
1162,SLC9A3R2
1163,SLC9A9
1164,SLC9C1
1165,SLCO1C1
1166,SLCO3A1
1167,SLIT2
1168,SLIT3
1169,SLPI
1170,SMAD6
1171,SMAP1
1172,SMAP2
1173,SMC5
1174,SMCHD1
